timestamp,BWB_2_HeatMeter_ReturnTemperature_C,BWB_2_HeatMeter_Power_Watt,BWB_2_HeatMeter_VolumeFlow_m3_per_hour,BWB_2_HeatMeter_FlowTemperature_Ce,BWB_2_HeatMeter_TemperatureDifference_K
15-Apr-19 5:00:00 PM CEST,61.00,125700.00,3.33,94.00,33.00
15-Apr-19 5:15:00 PM CEST,59.00,4000.00,0.10,94.00,35.00
15-Apr-19 5:30:00 PM CEST,62.00,45500.00,1.23,95.00,32.40
15-Apr-19 5:45:00 PM CEST,60.00,149800.00,3.81,94.00,34.30
15-Apr-19 6:00:00 PM CEST,59.00,16300.00,0.41,94.00,34.70
15-Apr-19 6:15:00 PM CEST,59.00,3800.00,0.09,94.00,35.20
15-Apr-19 6:30:00 PM CEST,57.00,68200.00,1.60,95.00,37.20
15-Apr-19 6:45:00 PM CEST,58.00,35800.00,0.85,95.00,36.80
15-Apr-19 7:00:00 PM CEST,57.00,200400.00,4.59,95.00,38.10
15-Apr-19 7:15:00 PM CEST,58.00,205100.00,4.78,96.00,37.50
15-Apr-19 7:30:00 PM CEST,58.00,179900.00,4.11,96.00,38.20
15-Apr-19 7:45:00 PM CEST,61.00,94100.00,2.33,96.00,35.40
15-Apr-19 8:00:00 PM CEST,61.00,140500.00,3.42,97.00,35.90
15-Apr-19 8:15:00 PM CEST,59.00,167200.00,3.78,98.00,38.60
15-Apr-19 8:30:00 PM CEST,65.00,177800.00,4.79,98.00,32.50
15-Apr-19 8:45:00 PM CEST,59.00,66100.00,1.49,98.00,38.80
15-Apr-19 9:00:00 PM CEST,61.00,4300.00,0.10,98.00,36.40
15-Apr-19 9:15:00 PM CEST,60.00,19800.00,0.47,97.00,37.10
15-Apr-19 9:30:00 PM CEST,53.00,325300.00,6.37,97.00,44.50
15-Apr-19 9:45:00 PM CEST,49.00,25300.00,0.46,98.00,48.20
15-Apr-19 10:00:00 PM CEST,57.00,284300.00,6.11,97.00,40.60
15-Apr-19 10:15:00 PM CEST,51.00,304600.00,5.59,99.00,47.40
15-Apr-19 10:30:00 PM CEST,59.00,39600.00,0.87,99.00,39.80
15-Apr-19 10:45:00 PM CEST,55.00,132100.00,2.65,98.00,43.40
15-Apr-19 11:00:00 PM CEST,55.00,377900.00,7.79,98.00,42.30
15-Apr-19 11:15:00 PM CEST,54.00,39200.00,0.79,97.00,43.10
15-Apr-19 11:30:00 PM CEST,56.00,138600.00,2.89,98.00,41.80
15-Apr-19 11:45:00 PM CEST,55.00,340300.00,7.01,98.00,42.30
16-Apr-19 12:00:00 AM CEST,57.00,209300.00,4.54,97.00,40.20
16-Apr-19 12:15:00 AM CEST,53.00,453900.00,8.98,97.00,44.00
16-Apr-19 12:30:00 AM CEST,56.00,172900.00,3.82,96.00,39.50
16-Apr-19 12:45:00 AM CEST,56.00,256100.00,5.75,95.00,38.80
16-Apr-19 1:00:00 AM CEST,54.00,69800.00,1.51,95.00,40.30
